Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
12-05-2023	0,000000	0,000000	-0,121716	0,014259		29,433858	5,315984	25,690970	-2,028749	51,271680	28,172923	58,377594	-6,250000	-4,250000
	1,000000	28,487916	-0,119647	0,031949		29,458830	5,331380	25,673484	-1,998043	51,247504	28,183416	58,323558	6,715664	0,227945
	2,000000	28,551962	-0,108395	0,036110		29,458341	5,308637	25,686436	-1,976045	51,225273	28,173561	58,267594	6,713956	0,241694
	3,000000	28,537727	-0,114478	0,021412		29,459491	5,319580	25,671937	-1,946237	51,230021	28,181162	58,222580	6,720790	0,178235
	4,000000	28,530610	-0,122263	0,045601		29,442784	5,306622	25,668066	-1,925536	51,241022	28,182674	58,220826	6,766920	0,065066
	5,000000	28,544844	-0,121820	0,034837		29,443121	5,314332	25,698790	-1,892201	51,263234	28,179068	58,221970	6,819884	-0,031180
	6,000000	28,473688	-0,104789	0,039011		29,428408	5,295936	25,679242	-1,871690	51,261606	28,188878	58,252032	6,866013	-0,084062
	7,000000	28,559080	-0,118427	0,047783		29,392975	5,286662	25,677947	-1,845421	51,243303	28,184618	58,228473	6,860888	-0,071371
	8,000000	28,537727	-0,115433	0,025059		29,345400	5,293445	25,676812	-1,816415	51,231780	28,203741	58,215194	6,818175	-0,067140
	9,000000	28,594678	-0,116823	0,035452		29,305536	5,278446	25,663157	-1,794199	51,178555	28,206780	58,189070	6,799381	-0,052333
	10,000000	28,580438	-0,129344	0,042311		29,267661	5,279531	25,669361	-1,769971	51,154331	28,223468	58,162277	6,795964	-0,047045
	11,000000	28,594678	-0,121126	0,016356		29,217710	5,277664	25,663085	-1,735352	51,142248	28,249210	58,096197	6,782296	-0,039641
	12,000000	28,537727	-0,134030	0,055044		29,168044	5,301155	25,653414	-1,724600	51,116469	28,279485	58,062568	6,770337	-0,033295
	13,000000	28,530610	-0,121092	0,032452		29,151620	5,285624	25,654620	-1,686378	51,087998	28,278275	58,025461	6,763503	-0,022719
	14,000000	28,530610	-0,118045	0,041570		29,109152	5,275885	25,681451	-1,673384	51,094515	28,326110	57,986006	6,760086	-0,020603
	15,000000	28,537727	-0,121378	0,032268		29,068753	5,274524	25,683657	-1,650682	51,059814	28,321354	57,932498	6,751543	-0,014257
