Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
17-05-2023	0,000000	0,000000	22,831075	12,493009		22,495345	18,836297	23,176969	19,378527	22,901290	23,182921	23,008422	-6,250000	-4,250000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
	1,000000	25,384962	22,822177	12,488370		22,502107	18,815047	23,179808	19,363401	22,907025	23,191791	23,004035	5,232675	1,626159	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	2,000000	25,252646	22,845039	12,502440		22,503903	18,809127	23,157333	19,395127	22,935467	23,176897	23,020880	5,230966	1,632505	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	3,000000	25,266570	22,830185	12,485983		22,496708	18,791145	23,170051	19,398878	22,923555	23,180499	23,006780	5,234383	1,640966	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	4,000000	25,371029	22,814727	12,474720		22,506431	18,790184	23,174719	19,380428	22,905808	23,171320	23,002598	5,232675	1,642024	-26,361188	1,000000	382,599224	1,747493	1,000000	Inf	-5,250000	Inf	1,747493	Inf	Inf	-5,250000	Inf	Inf	0,000000	Inf	1,000000	Inf	Inf	Inf
	5,000000	25,510406	22,785088	12,509310		22,496027	18,787801	23,185730	19,412313	22,919484	23,194570	23,004901	5,232675	1,642024	-26,361188	1,000000	382,599224	1,747493	1,000000	Inf	-5,250000	Inf	1,747493	Inf	Inf	-5,250000	Inf	Inf	0,000000	Inf	1,000000	Inf	Inf	Inf
	6,000000	25,169129	22,794926	12,490076		22,495225	18,786519	23,168215	19,395406	22,896567	23,176762	23,020746	5,230966	1,644139	-2,900870	2,632505	396,901396	1,728753	1,000000	26,284139	6,232675	414,717512	1,728753	-1,000000	22,822680	6,232675	231,451911	1,109623	0,000000	-2,900870	2,632505	231,451911	1,116542	0,175996
	7,000000	25,224803	22,827946	12,484789		22,493398	18,786415	23,161813	19,403492	22,911016	23,190023	23,015813	5,232675	1,642024	-2,900870	2,632505	396,901396	1,728753	1,000000	26,284139	6,232675	414,717512	1,728753	-1,000000	22,822680	6,232675	231,451911	1,109623	0,000000	-2,900870	2,632505	231,451911	1,116542	0,175996
	8,000000	25,357098	22,825188	12,501394		22,501417	18,790331	23,171959	19,411844	22,909312	23,198261	22,996525	5,232675	1,640966	-2,900870	2,632505	396,901396	1,728753	1,000000	26,284139	6,232675	414,717512	1,728753	-1,000000	22,822680	6,232675	231,451911	1,109623	0,000000	-2,900870	2,632505	231,451911	1,116542	0,175996
	9,000000	25,287457	22,820059	12,498301		22,481146	18,784598	23,172095	19,416952	22,921149	23,193451	23,014691	5,232675	1,642024	-2,803615	2,642024	396,958749	1,728695	1,000000	26,256965	6,230966	414,694464	1,728695	-1,000000	22,813624	6,230966	231,439081	1,109580	0,000000	-2,803615	2,642024	231,439081	1,116445	0,175348
