Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
17-05-2023	0,000000	0,000000	-1,837884	-10,526852	23,934576	6,559930	24,924636	45,584928	6,661225	25,623290	25,802346	-6,250000	-4,250000																				
	1,000000	26,251031	-1,840430	-10,549236	23,934157	6,514625	24,931608	45,574728	6,645783	25,611848	25,807454	6,059595	-0,638271																				
	2,000000	26,139024	-1,847175	-10,541791	23,930483	6,527213	24,919591	45,564812	6,659417	25,616745	25,808628	6,068138	-0,636156																				
	3,000000	26,188017	-1,869341	-10,537293	23,939284	6,476861	24,917174	45,550857	6,669642	25,625082	25,827946	6,066429	-0,632983																				
	4,000000	26,328082	-1,893162	-10,555493	23,932635	6,492673	24,929891	45,553960	6,667162	25,619472	25,810640	6,066429	-0,632983																				
	5,000000	26,286050	-1,913538	-10,538676	23,911397	6,455241	24,937906	45,542896	6,681126	25,618878	25,824873	6,064721	-0,631926																				
	6,000000	26,335088	-1,940131	-10,538803	23,933002	6,481066	24,928596	45,534339	6,692373	25,607042	25,835478	6,066429	-0,630868																				
	7,000000	26,335088	-1,948033	-10,518928	23,932529	6,441155	24,932188	45,541822	6,710693	25,600347	25,843891	6,064721	-0,631926																				
	8,000000	26,195018	-1,953163	-10,547334	23,918245	6,450778	24,931859	45,531622	6,696766	25,610737	25,816027	6,068138	-0,631926																				
	9,000000	26,076054	-1,955925	-10,540185	23,916185	6,438837	24,923870	45,527839	6,707635	25,622479	25,827583	6,071555	-0,630868																				
	10,000000	26,104037	-1,995637	-10,517773	23,923977	6,441241	24,938552	45,550719	6,700932	25,606218	25,812574	6,064721	-0,630868																				
	11,000000	26,328082	-2,006690	-10,544101	23,925550	6,434583	24,941615	45,542841	6,719696	25,596483	25,811618	6,064721	-0,630868																				
	12,000000	26,097041	-2,002261	-10,538042	23,915188	6,438542	24,935806	45,533430	6,722489	25,623026	25,830802	6,064721	-0,629810																				
	13,000000	26,216020	-2,026105	-10,516673	23,909364	6,417388	24,935674	45,522247	6,716638	25,601694	25,818437	6,064721	-0,631926																				
	14,000000	26,412181	-2,035765	-10,533715	23,894030	6,439066	24,945564	45,518511	6,726418	25,586568	25,837683	6,066429	-0,632983																				
	15,000000	26,335088	-2,040166	-10,539791	23,900287	6,438418	24,928940	45,514581	6,724638	25,619559	25,815674	6,063012	-0,630868																				
	16,000000	26,174017	-2,070590	-10,543340	23,906635	6,418532	24,930524	45,500946	6,703763	25,602362	25,826535	6,066429	-0,631926																				
	17,000000	26,349102	-2,091229	-10,567826	23,910925	6,424197	24,925599	45,472244	6,722640	25,600785	25,843765	6,064721	-0,632983																				
	18,000000	26,293054	-2,112025	-10,539986	23,901309	6,426601	24,944388	45,497696	6,714423	25,613655	25,840298	6,066429	-0,631926																				
	19,000000	26,146022	-2,121597	-10,544920	23,888166	6,428641	24,930234	45,487173	6,722886	25,599929	25,842704	6,066429	-0,630868																				
	20,000000	26,125028	-2,132596	-10,532882	23,895065	6,427097	24,939028	45,504417	6,746346	25,605224	25,850941	6,063012	-0,629810																				
	21,000000	26,307064	-2,152272	-10,537194	23,889975	6,417244	24,934643	45,480975	6,752470	25,631903	25,854094	6,063012	-0,631926																				
	22,000000	26,230024	-2,165640	-10,529387	23,892809	6,414669	24,928438	45,511183	6,735524	25,612274	25,861913	6,064721	-0,631926																				
	23,000000	26,321076	-2,193756	-10,532179	23,890921	6,418122	24,928201	45,506427	6,737058	25,592644	25,858507	6,064721	-0,629810																				
	24,000000	26,167018	-2,185106	-10,530895	23,900536	6,413429	24,947676	45,544879	6,759286	25,600049	25,848154	6,063012	-0,634041																				
	25,000000	26,167018	-2,198336	-10,544412	23,891156	6,408651	24,930841	45,555704	6,743183	25,593467	25,842033	6,066429	-0,630868																				
	26,000000	26,300059	-2,226336	-10,533025	23,887536	6,412047	24,933483	45,578070	6,745796	25,614935	25,841410	6,064721	-0,632983																				
	27,000000	26,174017	-2,242140	-10,531388	23,902752	6,421117	24,940665	45,569540	6,769946	25,602318	25,871195	6,063012	-0,632983																				
	28,000000	26,174017	-2,247469	-10,496376	23,910701	6,416014	24,930550	45,593641	6,734966	25,620010	25,843145	6,063012	-0,630868																				
	29,000000	26,153020	-2,253923	-10,545398	23,893019	6,411226	24,929758	45,587563	6,743467	25,597882	25,855462	6,063012	-0,631926																				
	30,000000	26,160019	-2,286320	-10,541551	23,901637	6,404979	24,919578	45,567594	6,745976	25,594537	25,837604	6,064721	-0,631926																				
	31,000000	26,132026	-2,295421	-10,541734	23,902805	6,417502	24,925929	45,584056	6,753483	25,610466	25,854748	6,063012	-0,631926																				
	32,000000	26,125028	-2,314926	-10,533248	23,909888	6,420964	24,924186	45,588123	6,751619	25,612440	25,857136	6,066429	-0,630868																				
	33,000000	26,265038	-2,315406	-10,536009	23,910150	6,404502	24,939793	45,587701	6,748154	25,617404	25,859138	6,064721	-0,632983																				
	34,000000	26,153020	-2,323524	-10,528512	23,895118	6,403739	24,930947	45,594679	6,749290	25,614260	25,844908	6,063012	-0,630868																				
	35,000000	26,202018	-2,337623	-10,530654	23,898922	6,407058	24,939767	45,567025	6,758264	25,613024	25,853735	6,063012	-0,630868																				
	36,000000	26,300059	-2,369184	-10,521436	23,904142	6,412752	24,933006	45,550838	6,756342	25,602826	25,855922	6,064721	-0,631926																				
	37,000000	26,195018	-2,374910	-10,524931	23,908602	6,395995	24,921413	45,537277	6,750312	25,602175	25,849173	6,064721	-0,629810																				
	38,000000	26,146022	-2,386119	-10,535896	23,911724	6,419591	24,930471	45,521063	6,766916	25,603915	25,862927	6,068138	-0,631926																				
	39,000000	26,342095	-2,381651	-10,518108	23,912485	6,403625	24,915153	45,496144	6,767731	25,610090	25,849991	6,066429	-0,631926																				
	40,000000	26,251031	-2,415935	-10,521942	23,921090	6,406181	24,934168	45,494932	6,774433	25,609628	25,852564	6,064721	-0,632983																				
	41,000000	26,188017	-2,422275	-10,535783	23,921011	6,408461	24,913384	45,490883	6,763821	25,596411	25,848259	6,064721	-0,631926																				
	42,000000	26,335088	-2,446622	-10,526536	23,903670	6,413153	24,923657	45,510458	6,782110	25,604214	25,848963	6,061304	-0,629810																				
	43,000000	26,377134	-2,446510	-10,531794	23,904417	6,413334	24,912024	45,497778	6,771688	25,591223	25,842605	6,066429	-0,629810																				
	44,000000	26,405171	-2,486506	-10,530723	23,903735	6,429624	24,920211	45,495832	6,764758	25,615212	25,841121	6,061304	-0,632983																				
	45,000000	26,363118	-2,471818	-10,503871	23,902646	6,415414	24,918190	45,480315	6,784354	25,600911	25,846556	6,061304	-0,631926																				
	46,000000	26,377134	-2,494072	-10,525408	23,874941	6,429825	24,925611	45,463338	6,776696	25,588841	25,840374	6,063012	-0,631926																				
	47,000000	26,307064	-2,494515	-10,540207	23,903564	6,404941	24,916341	45,426894	6,790620	25,608998	25,851164	6,064721	-0,632983																				
	48,000000	26,349102	-2,513273	-10,527886	23,886484	6,418638	24,913937	45,429796	6,774680	25,600484	25,836421	6,063012	-0,632983																				
	49,000000	26,342095	-2,526137	-10,539066	23,864696	6,405075	24,905315	45,401313	6,784317	25,618977	25,848182	6,059595	-0,630868																				
	50,000000	26,293054	-2,560036	-10,529747	23,874836	6,417579	24,909791	45,411147	6,789911	25,608058	25,834989	6,066429	-0,631926																				
	51,000000	26,167018	-2,536131	-10,516821	23,883087	6,427564	24,891661	45,405335	6,775588	25,604867	25,839735	6,063012	-0,629810																				
	52,000000	26,132026	-2,569034	-10,531270	23,883232	6,425590	24,914175	45,429879	6,782717	25,601644	25,835698	6,066429	-0,631926																				
	53,000000	26,223022	-2,586784	-10,532172	23,871399	6,409062	24,910214	45,410294	6,780322	25,598598	25,830128	6,063012	-0,632983																				
	54,000000	26,328082	-2,581942	-10,533158	23,881159	6,430845	24,894157	45,401882	6,794748	25,596334	25,845518	6,064721	-0,630868																				
	55,000000	26,209019	-2,602771	-10,531353	23,888399	6,432515	24,894236	45,402388	6,785424	25,603987	25,827807	6,068138	-0,631926																				
	56,000000	26,279045	-2,608887	-10,532058	23,875361	6,438599	24,901261	45,383270	6,789570	25,602593	25,842750	6,063012	-0,630868																				
	57,000000	26,405171	-2,628357	-10,499161	23,884464	6,422443	24,910240	45,396732	6,780729	25,590972	25,831126	6,064721	-0,631926																				
	58,000000	26,363118	-2,653057	-10,524220	23,883651	6,402319	24,913858	45,391681	6,781959	25,597713	25,837218	6,063012	-0,629810																				
