Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
19-05-2023	0,000000	0,000000	23,397215	-10,456277	22,578851	4,730327	23,800493	42,391110	2,403717	29,022165	24,885888	-6,250000	-4,250000																				
	1,000000	24,003755	23,399349	-10,457812	22,574795	4,707544	23,769371	42,369552	2,385209	29,016462	24,878540	5,888744	-0,666828																				
	2,000000	23,900031	23,406494	-10,447631	22,572487	4,695170	23,785564	42,357644	2,409836	29,003067	24,871705	5,887035	-0,656252																				
	3,000000	24,183662	23,387019	-10,451214	22,580597	4,676373	23,789290	42,333665	2,407300	28,996412	24,872896	5,890452	-0,644617																				
	4,000000	23,983006	23,407097	-10,456918	22,577961	4,662508	23,788116	42,331915	2,416917	28,994913	24,875739	5,888744	-0,634041																				
	5,000000	24,093689	23,400648	-10,448727	22,584697	4,657185	23,764903	42,359362	2,425138	28,984234	24,895073	5,888744	-0,629810																				
	6,000000	24,204431	23,402044	-10,452551	22,573151	4,621376	23,794565	42,345143	2,426992	28,988598	24,888499	5,888744	-0,624522																				
	7,000000	24,280601	23,391426	-10,467209	22,568524	4,635079	23,776572	42,336617	2,441784	28,989239	24,885730	5,892161	-0,622407																				
	8,000000	23,879293	23,394415	-10,454690	22,565380	4,612148	23,780997	42,357976	2,458942	28,970230	24,886095	5,885327	-0,618176																				
	9,000000	24,211354	23,389498	-10,438031	22,560942	4,605776	23,773563	42,315779	2,449547	28,968146	24,885869	5,885327	-0,617118																				
	10,000000	24,066013	23,400546	-10,438016	22,558852	4,583715	23,782013	42,314792	2,458430	28,994188	24,875569	5,885327	-0,617118																				
	11,000000	24,114449	23,393398	-10,430762	22,580550	4,584076	23,775910	42,300051	2,456505	28,957304	24,897999	5,888744	-0,615003																				
	12,000000	24,017588	23,416350	-10,443918	22,585963	4,571830	23,782104	42,247415	2,468306	28,955490	24,885875	5,885327	-0,616061																				
	13,000000	24,155974	23,397486	-10,453152	22,578802	4,555402	23,784148	42,260682	2,472514	28,946089	24,885022	5,883618	-0,613945																				
	14,000000	23,858556	23,392705	-10,447663	22,575776	4,565312	23,769804	42,254393	2,470957	28,947865	24,882461	5,885327	-0,613945																				
	15,000000	24,245975	23,403230	-10,457041	22,572342	4,553233	23,794121	42,277733	2,481783	28,944338	24,896548	5,883618	-0,616061																				
