Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
19-05-2023	0,000000	0,000000	5,657653	-10,561780	23,922568	1,962545	23,692999	37,746964	-4,205020	34,786645	24,913013	-6,250000	-4,250000																				
	1,000000	24,932706	5,442785	-10,583077	23,943570	1,955320	23,686213	37,750353	-4,187228	34,749711	24,929181	5,828946	-0,702788																				
	2,000000	25,294420	5,019455	-10,580198	23,940815	1,950289	23,694547	37,743669	-4,167236	34,734438	24,906032	5,835780	-0,690096																				
	3,000000	24,981357	5,855383	-10,566547	23,938595	1,905582	23,679344	37,719133	-4,141605	34,716557	24,921473	5,840906	-0,681635																				
	4,000000	25,002211	5,801625	-10,589857	23,946441	1,901551	23,696147	37,724301	-4,399245	34,715294	24,916178	5,786233	-0,663655																				
	5,000000	25,259608	5,933078	-10,581456	23,944466	1,882425	23,704341	37,731566	-5,599113	34,679440	24,926804	5,787942	-0,594908																				
	6,000000	25,127385	5,607965	-10,553362	23,925802	1,829706	23,688667	37,751750	-7,395152	34,676457	24,910228	5,787942	-0,503950																				
	7,000000	25,350133	4,457777	-10,548542	23,928556	1,758115	23,683481	37,731460	-9,381022	34,654580	24,895687	5,786233	-0,418280																				
	8,000000	25,141299	4,831191	-10,562700	23,912024	1,666877	23,688478	37,755046	-11,287449	34,645395	24,889462	5,781108	-0,333668																				
	9,000000	25,245685	5,744443	-10,567115	23,917174	1,585216	23,684967	37,745764	-12,975280	34,630969	24,892295	5,787942	-0,254344																				
	10,000000	25,071742	6,133312	-10,563210	23,929253	1,514191	23,689184	37,750036	-14,361605	34,610714	24,892170	5,786233	-0,175020																				
	11,000000	25,030020	6,020239	-10,548382	23,924449	1,423347	23,694896	37,730656	-15,490440	34,594143	24,878149	5,786233	-0,098869																				
	12,000000	25,002211	5,772321	-10,564797	23,924674	1,333138	23,710679	37,707096	-16,369282	34,570306	24,878140	5,781108	-0,029065																				
	13,000000	25,057833	4,779001	-10,559184	23,929691	1,268797	23,684626	37,721506	-17,046641	34,546338	24,884655	5,777691	0,036510																				
	14,000000	25,064787	4,775842	-10,543311	23,947554	1,210118	23,697269	37,717366	-17,553512	34,546087	24,871653	5,779399	0,098911																				
	15,000000	24,925757	4,962471	-10,573359	23,944883	1,125317	23,688834	37,742402	-17,927301	34,517928	24,882603	5,781108	0,158140																				
	16,000000	25,294420	5,841240	-10,572006	23,934361	1,053490	23,699151	37,764590	-18,137776	34,495206	24,874804	5,774274	0,218426																				
	17,000000	25,294420	5,861748	-10,566518	23,940170	1,002399	23,695194	37,762771	-18,266228	34,476431	24,870881	5,774274	0,272366																				
	18,000000	25,190005	5,385865	-10,544204	23,940525	0,955752	23,683884	37,789402	-18,318322	34,455270	24,876675	5,774274	0,325249																				
	19,000000	25,245685	4,696595	-10,570040	23,944106	0,892435	23,708052	37,805010	-18,280335	34,451437	24,875773	5,769148	0,377073																				
	20,000000	25,287457	5,347114	-10,542353	23,956469	0,834302	23,689592	37,821358	-18,206857	34,429062	24,873090	5,774274	0,425725																				
	21,000000	25,245685	5,213242	-10,550141	23,949164	0,786573	23,688337	37,805801	-18,050691	34,417464	24,864763	5,775982	0,472262																				
	22,000000	25,308346	5,566703	-10,572459	23,938859	0,742878	23,684612	37,809440	-17,888214	34,397895	24,860786	5,772565	0,516683																				
	23,000000	25,190005	5,006970	-10,528964	23,937654	0,714534	23,702656	37,806777	-17,703805	34,374099	24,850745	5,770856	0,561105																				
	24,000000	25,273532	5,561740	-10,546361	23,938141	0,665616	23,693518	37,842688	-17,453674	34,357665	24,850186	5,767439	0,603411																				
	25,000000	25,183046	4,698855	-10,547356	23,942466	0,638189	23,702139	37,854934	-17,232182	34,332391	24,865064	5,767439	0,636198																				
	26,000000	25,036973	4,685987	-10,544098	23,928492	0,622491	23,701751	37,843373	-16,971952	34,324884	24,853913	5,767439	0,674273																				
	27,000000	25,064787	5,100604	-10,546297	23,941272	0,560600	23,713713	37,850412	-16,708093	34,300384	24,866356	5,769148	0,708118																				
	28,000000	25,155214	5,419393	-10,549007	23,917269	0,554680	23,695434	37,852482	-16,428287	34,292446	24,852860	5,772565	0,740905																				
	29,000000	25,030020	5,505945	-10,557007	23,943629	0,502248	23,707572	37,869528	-16,154488	34,274830	24,848423	5,765731	0,769462																				
	30,000000	25,252646	5,556311	-10,562498	23,933012	0,450609	23,696864	37,863898	-15,868701	34,245653	24,850348	5,767439	0,800134																				
	31,000000	25,224803	4,891054	-10,531635	23,938488	0,443616	23,698682	37,878781	-15,602755	34,242451	24,841346	5,764022	0,829748																				
	32,000000	25,252646	4,682320	-10,541510	23,923733	0,389376	23,701397	37,864386	-15,296538	34,229161	24,825576	5,767439	0,855132																				
	33,000000	25,036973	4,474269	-10,559365	23,921626	0,374016	23,713717	37,866627	-15,016680	34,199031	24,852579	5,765731	0,883688																				
	34,000000	25,085651	5,419762	-10,545254	23,955845	0,331615	23,702483	37,857504	-14,746910	34,180620	24,832491	5,760605	0,905899																				
	35,000000	25,238724	5,357504	-10,532613	23,952999	0,284814	23,693130	37,868156	-14,477015	34,176425	24,828744	5,762314	0,927052																				
	36,000000	24,925757	4,991377	-10,544415	23,967089	0,261454	23,721229	37,855158	-14,186543	34,157183	24,822257	5,758897	0,943974																				
	37,000000	24,863228	4,932210	-10,551445	23,938979	0,230122	23,697696	37,836728	-13,921313	34,141939	24,822357	5,755480	0,961954																				
	38,000000	25,092606	4,249032	-10,539219	23,938921	0,192138	23,699490	37,848645	-13,696892	34,113714	24,810621	5,755480	0,979934																				
	39,000000	24,911860	4,326515	-10,546123	23,959439	0,179137	23,701106	37,877884	-13,427657	34,099467	24,820878	5,753771	0,997915																				
	40,000000	24,967455	5,275973	-10,526445	23,978220	0,158467	23,686896	37,870423	-13,167954	34,074292	24,811521	5,753771	1,009549																				
	41,000000	25,266570	5,191144	-10,532639	23,966788	0,140848	23,706296	37,864412	-12,910940	34,052002	24,816165	5,758897	1,027529																				
	42,000000	24,932706	5,111418	-10,528011	23,935707	0,110432	23,719769	37,865506	-12,680100	34,047179	24,794275	5,750354	1,038105																				
	43,000000	24,960505	4,995362	-10,530497	23,980164	0,109621	23,682190	37,854577	-12,460779	34,035673	24,806783	5,755480	1,049739																				
	44,000000	24,988308	4,693280	-10,514226	23,962485	0,078118	23,703252	37,813288	-12,207028	34,003054	24,804415	5,753771	1,062431																				
	45,000000	24,856281	3,993752	-10,526166	23,970151	0,050861	23,698946	37,811877	-11,999162	34,000659	24,767144	5,753771	1,071950																				
	46,000000	25,085651	5,095355	-10,532232	23,978937	0,031259	23,703732	37,786618	-11,779228	33,995560	24,792711	5,755480	1,080411																				
	47,000000	25,120429	5,183618	-10,519255	23,975635	0,030902	23,695031	37,783691	-11,562518	33,973988	24,785923	5,758897	1,088873																				
	48,000000	25,078696	4,844567	-10,522929	23,982113	0,035177	23,698601	37,754015	-11,363545	33,951178	24,772158	5,755480	1,095218																				
	49,000000	25,259608	4,724124	-10,534986	23,973044	-0,009540	23,692603	37,734199	-11,165538	33,940510	24,751673	5,758897	1,100507																				
	50,000000	25,169129	3,695612	-10,531988	23,968328	-0,053105	23,691551	37,721028	-10,985652	33,902555	24,769498	5,757188	1,110026																				
	51,000000	25,148256	3,942042	-10,545649	23,958449	-0,028470	23,700293	37,742439	-10,786925	33,906658	24,756030	5,758897	1,114256																				
	52,000000	25,155214	4,780198	-10,530729	23,986203	-0,006970	23,671796	37,739433	-10,618522	33,879006	24,765245	5,758897	1,119544																				
	53,000000	24,904912	5,101094	-10,511467	23,970860	0,017567	23,705587	37,773486	-10,454330	33,864978	24,764130	5,758897	1,128006																				
	54,000000	25,315310	4,977881	-10,555908	23,989187	0,005498	23,686289	37,786090	-10,318058	33,862150	24,766545	5,758897	1,130121																				
	55,000000	25,280494	4,610523	-10,546030	23,969287	0,002969	23,684555	37,779788	-10,181906	33,829354	24,755255	5,755480	1,134352																				
	56,000000	25,210883	4,167955	-10,551111	23,978565	-0,003259	23,689466	37,776769	-10,038193	33,821886	24,732167	5,758897	1,138582																				
	57,000000	24,897964	4,070082	-10,544244	23,968695	-0,011617	23,676919	37,755649	-9,883766	33,792983	24,736485	5,753771	1,138582																				
	58,000000	24,877121	3,864684	-10,531510	23,974554	-0,017913	23,693200	37,771390	-9,766635	33,760197	24,743088	5,753771	1,144928																				
	59,000000	25,113473	4,804028	-10,545846	23,972701	-0,020649	23,671699	37,793314	-9,628102	33,763322	24,739835	5,760605	1,147043																				
	60,000000	25,009163	4,776457	-10,515783	23,978377	-0,032045	23,690573	37,803979	-9,496066	33,724156	24,734172	5,758897	1,149159																				
	61,000000	25,120429	4,974191	-10,529578	23,977738	-0,031935	23,698819	37,801132	-9,392273	33,731756	24,739134	5,755480	1,153389																				
	62,000000	24,974406	4,590129	-10,552961	23,981190	-0,023151	23,684891	37,813616	-9,294943	33,713664	24,719958	5,755480	1,157620																				
	63,000000	25,071742	4,002984	-10,539526	23,981932	-0,033970	23,687121	37,819113	-9,180595	33,699023	24,718785	5,755480	1,159735																				
	64,000000	25,301383	3,991187	-10,542023	23,958260	-0,049834	23,707881	37,851333	-9,083324	33,682005	24,723347	5,753771	1,162908																				
	65,000000	25,203923	4,608730	-10,533619	23,979295	-0,043290	23,692610	37,862222	-9,015500	33,678024	24,735421	5,755480	1,161850																				
	66,000000	24,939656	4,869291	-10,502227	24,002186	-0,046796	23,691436	37,864027	-8,917636	33,661969	24,703885	5,755480	1,168196																				
	67,000000	24,835444	4,657207	-10,530680	23,974290	-0,053546	23,695897	37,866044	-8,840082	33,635847	24,714303	5,755480	1,167139																				
	68,000000	25,002211	4,564749	-10,535892	23,983681	-0,049628	23,694996	37,862235	-8,774570	33,617784	24,723118	5,752063	1,169254																				
	69,000000	25,120429	3,059009	-10,518363	23,983652	-0,042947	23,690152	37,859598	-8,669156	33,610476	24,716935	5,755480	1,169254																				
	70,000000	25,141299	3,556337	-10,554678	23,978397	-0,034754	23,690038	37,864686	-8,614952	33,565791	24,720821	5,748646	1,173485																				
	71,000000	25,210883	4,227361	-10,512500	23,991777	-0,036403	23,683531	37,855353	-8,544188	33,574485	24,711501	5,750354	1,177715																				
	72,000000	25,210883	4,596510	-10,520169	23,992775	-0,023151	23,691204	37,840193	-8,482721	33,569952	24,718823	5,750354	1,175600																				
	73,000000	25,162171	4,683599	-10,507077	23,986172	-0,030698	23,681952	37,832032	-8,431622	33,525532	24,705866	5,750354	1,176658																				
	74,000000	25,030020	4,636338	-10,525608	23,985112	-0,026506	23,687180	37,836791	-8,363161	33,523000	24,702693	5,750354	1,181946																				
	75,000000	24,939656	4,433151	-10,515723	23,990112	-0,022725	23,684073	37,848353	-8,292396	33,529146	24,701024	5,748646	1,183003																				
	76,000000	24,967455	3,956309	-10,522850	23,967370	-0,012993	23,695585	37,860085	-8,246630	33,491034	24,711862	5,746937	1,181946																				
	77,000000	25,155214	3,501800	-10,503954	23,974482	-0,024361	23,699980	37,803780	-8,209967	33,485528	24,714761	5,748646	1,184061																				
	78,000000	25,023067	4,425751	-10,519355	23,968756	-0,012910	23,683093	37,816054	-8,166760	33,468965	24,706863	5,743520	1,185119																				
	79,000000	25,064787	4,372164	-10,499228	23,981372	-0,004538	23,682297	37,815224	-8,118875	33,433937	24,697291	5,745229	1,185119																				
	80,000000	24,981357	4,359985	-10,484673	23,968973	0,000012	23,684237	37,856499	-8,057319	33,415984	24,698236	5,745229	1,187234																				
	81,000000	25,155214	4,331111	-10,510062	23,974014	0,002403	23,682840	37,819112	-8,041050	33,409246	24,701010	5,743520	1,188292																				
	82,000000	24,863228	2,605323	-10,491870	23,982128	0,024081	23,683244	37,814617	-7,986718	33,383805	24,671816	5,745229	1,184061																				
	83,000000	25,259608	2,724546	-10,519047	23,973050	0,000919	23,689646	37,791849	-7,957933	33,391640	24,685956	5,740103	1,188292																				
	84,000000	25,016115	3,839798	-10,510657	23,983952	0,027765	23,683231	37,806891	-7,917481	33,365125	24,678671	5,741812	1,191465																				
	85,000000	24,897964	4,035607	-10,504534	23,990696	0,021813	23,686885	37,805243	-7,884914	33,352291	24,692298	5,736686	1,193580																				
	86,000000	25,148256	3,968572	-10,522422	23,991230	0,030019	23,685016	37,831755	-7,865297	33,335320	24,664773	5,741812	1,191465																				
	87,000000	24,877121	4,235168	-10,520122	23,972729	0,016864	23,686173	37,846823	-7,819954	33,301284	24,680954	5,745229	1,190407																				
	88,000000	25,141299	3,416382	-10,499037	23,997198	0,057483	23,682330	37,860863	-7,776287	33,289131	24,672838	5,743520	1,192522																				
	89,000000	25,092606	3,401041	-10,498148	24,006580	0,048067	23,695126	37,879700	-7,755228	33,293338	24,680015	5,743520	1,195695																				
	90,000000	25,155214	3,489633	-10,499419	23,995896	0,061786	23,682313	37,895441	-7,749911	33,260176	24,679027	5,745229	1,196753																				
	91,000000	25,120429	3,999967	-10,490319	23,994131	0,073730	23,670161	37,919999	-7,710344	33,261551	24,671121	5,745229	1,198868																				
	92,000000	25,030020	4,041379	-10,491043	24,015415	0,079709	23,681627	37,915214	-7,674092	33,257331	24,664501	5,741812	1,196753																				
	93,000000	24,981357	4,081707	-10,520641	24,006935	0,084190	23,681964	37,929846	-7,663321	33,237454	24,662522	5,740103	1,199926																				
	94,000000	25,009163	4,016999	-10,503876	23,991977	0,085977	23,668915	37,907015	-7,620020	33,228070	24,665052	5,736686	1,200984																				
	95,000000	24,835444	2,490981	-10,475209	23,994915	0,098594	23,678731	37,928343	-7,581342	33,185784	24,659255	5,736686	1,202041																				
	96,000000	25,127385	2,092768	-10,510922	24,001263	0,114222	23,680503	37,935580	-7,568445	33,177994	24,665895	5,740103	1,203099																				
	97,000000	25,224803	3,674275	-10,483760	24,005921	0,113521	23,675200	37,951333	-7,545784	33,168443	24,644099	5,743520	1,205214																				
	98,000000	25,120429	3,858749	-10,488611	23,991885	0,114717	23,694381	37,925535	-7,530552	33,132121	24,641010	5,740103	1,204156																				
	99,000000	25,148256	3,912702	-10,497334	24,021146	0,120517	23,685369	37,926669	-7,494498	33,134712	24,645195	5,740103	1,206272																				
	100,000000	24,953555	3,739426	-10,491830	24,015616	0,121850	23,656641	37,929793	-7,462772	33,112693	24,642160	5,745229	1,205214																				
	101,000000	24,967455	2,929630	-10,483492	24,015870	0,154684	23,689679	37,961285	-7,452328	33,103258	24,637030	5,741812	1,209445																				
	102,000000	24,849335	2,890447	-10,496335	24,034137	0,165747	23,683100	37,957502	-7,430813	33,067103	24,643818	5,736686	1,209445																				
	103,000000	25,245685	3,412998	-10,486810	24,034133	0,159370	23,670502	37,962827	-7,417602	33,073414	24,630521	5,740103	1,210502																				
	104,000000	25,287457	3,595502	-10,488037	24,036925	0,182322	23,683504	37,959558	-7,378611	33,039943	24,621429	5,740103	1,210502																				
	105,000000	25,217843	3,889659	-10,482882	24,035531	0,157089	23,671357	37,985922	-7,369490	33,027131	24,637746	5,745229	1,209445																				
	106,000000	25,155214	3,840545	-10,507129	24,049404	0,169444	23,683866	37,952189	-7,342780	33,012881	24,629383	5,728144	1,208387																				
	107,000000	25,120429	2,607589	-10,502535	24,015090	0,194484	23,695930	37,972147	-7,336718	33,012102	24,632577	5,740103	1,210502																				
	108,000000	25,064787	2,252392	-10,467901	24,035932	0,189399	23,682317	37,985355	-7,302351	32,993663	24,629230	5,738395	1,210502																				
	109,000000	24,960505	3,156754	-10,474658	24,026437	0,206069	23,684039	37,991379	-7,309427	32,981621	24,625798	5,731561	1,211560																				
	110,000000	25,176088	3,766751	-10,478718	24,018704	0,169101	23,696056	37,953705	-7,298361	32,975752	24,618818	5,731561	1,058201																				
	111,000000	25,120429	3,747980	-10,477196	24,015766	-0,240939	23,679388	37,955089	-7,250973	33,016844	24,607778	5,786233	1,093103																				
	112,000000	25,155214	3,635711	-10,439410	23,991004	-0,857091	23,681825	37,948485	-7,239839	33,088785	24,621018	5,832363	0,968300																				
	113,000000	25,155214	3,714108	-10,473941	23,995312	-1,555641	23,694318	37,943199	-7,241521	33,193970	24,636855	5,900703	1,038105																				
	114,000000	25,266570	2,515975	-10,465018	23,984936	-2,199010	23,709411	37,916097	-7,244412	33,345858	24,674844	5,953667	1,003203																				
	115,000000	25,016115	2,631755	-10,465562	23,964202	-2,802246	23,688871	37,812085	-7,261065	33,510619	24,730666	5,991255	1,056085																				
	116,000000	25,002211	3,423270	-10,469648	23,984030	-3,254113	23,708498	37,627007	-7,294288	33,710679	24,803239	6,068138	1,102622																				
	117,000000	25,210883	3,507220	-10,475556	23,968822	-3,665378	23,753348	37,345179	-7,323997	33,914801	24,853421	6,162106	1,074065																				
	118,000000	25,002211	3,329478	-10,479146	23,975796	-4,019554	23,790195	37,128810	-7,356086	34,140619	24,916481	6,204819	1,060316																				
	119,000000	24,911860	3,517236	-10,461137	23,959235	-4,329722	23,824973	36,949674	-7,392697	34,392360	24,993367	6,268034	1,035990																				
	120,000000	25,057833	2,699794	-10,469163	23,955617	-4,614641	23,871873	36,805819	-7,439603	34,662626	25,077633	6,305621	1,019068																				
	121,000000	24,974406	1,562923	-10,456453	23,976923	-4,905489	23,903907	36,678415	-7,466431	34,946300	25,119326	6,344917	0,998972																				
	122,000000	24,981357	3,180492	-10,471230	23,948450	-5,187631	23,942778	36,586361	-7,545367	35,236632	25,209847	6,380796	0,995799																				
	123,000000	25,043926	3,542468	-10,445368	23,957274	-5,416682	23,988882	36,513738	-7,591554	35,529686	25,282185	6,408132	1,001088																				
	124,000000	25,224803	3,545789	-10,455579	23,966447	-5,635749	24,055699	36,484009	-7,667121	35,836239	25,351836	6,450845	1,001088																				
	125,000000	25,224803	3,424198	-10,457324	23,961017	-5,818250	24,099091	36,440874	-7,707547	36,149194	25,423667	6,469638	1,019068																				
	126,000000	25,127385	3,352141	-10,460178	23,969273	-6,002355	24,170153	36,423112	-7,756287	36,451150	25,480100	6,488432	1,018010																				
	127,000000	25,099561	1,501546	-10,453661	23,959865	-6,158970	24,214711	36,383630	-7,834962	36,771659	25,531102	6,522602	1,004260																				
	128,000000	25,120429	1,884712	-10,469477	23,981005	-6,301356	24,241935	36,375422	-7,871883	37,115120	25,615107	6,527728	0,985223																				
	129,000000	25,141299	3,154946	-10,457033	23,987995	-6,442035	24,280437	36,359467	-7,931602	37,428049	25,702526	6,565315	1,000030																				
	130,000000	24,939656	3,129870	-10,430587	23,982883	-6,582162	24,329499	36,349082	-8,009825	37,752963	25,833684	6,582400	0,989453																				
	131,000000	25,009163	3,482243	-10,454293	23,980838	-6,687259	24,374434	36,338973	-8,032193	38,085090	26,039045	6,580692	0,976762																				
	132,000000	25,002211	3,219017	-10,446415	24,017782	-6,824111	24,412949	36,350626	-8,098677	38,395645	26,259523	6,609736	0,982050																				
	133,000000	25,085651	2,281444	-10,449442	24,031805	-6,920677	24,460560	36,350494	-8,163766	38,723752	26,514312	6,619987	0,968300																				
	134,000000	25,043926	1,874494	-10,409935	24,026838	-7,033414	24,471281	36,364680	-8,216671	39,038543	26,782102	6,650741	0,956666																				
	135,000000	25,002211	2,850521	-10,425282	24,036554	-7,157864	24,528977	36,386137	-8,259564	39,367070	27,022241	6,681494	0,935513																				
	136,000000	25,210883	3,184981	-10,451329	24,041220	-7,276050	24,562162	36,381584	-8,313541	39,665740	27,283134	6,701996	0,931283																				
	137,000000	25,023067	3,222987	-10,439000	24,058306	-7,410268	24,606559	36,400191	-8,366870	39,984109	27,509431	6,732749	0,918591																				
	138,000000	24,939656	3,115738	-10,437393	24,060271	-7,526942	24,671603	36,416725	-8,419662	40,296966	27,739483	6,760086	0,908014																				
	139,000000	25,176088	2,961637	-10,415876	24,058527	-7,650024	24,720331	36,453488	-8,479976	40,572533	27,951305	6,773754	0,899553																				
	140,000000	25,190005	1,896051	-10,437298	24,055034	-7,789675	24,753426	36,479114	-8,535279	40,876752	28,146020	6,816466	0,884746																				
	141,000000	25,245685	2,399704	-10,429692	24,047267	-7,914680	24,787023	36,481634	-8,607199	41,182882	28,341340	6,825009	0,863593																				
	142,000000	25,294420	3,019545	-10,430260	24,051537	-8,025177	24,850672	36,504132	-8,665824	41,471689	28,532291	6,855762	0,853016																				
	143,000000	25,190005	3,142156	-10,412984	24,047705	-8,184608	24,873252	36,526234	-8,726438	41,742429	28,715223	6,867722	0,838209																				
	144,000000	25,009163	3,083505	-10,444607	24,088416	-8,330387	24,914978	36,551818	-8,788455	42,032048	28,854737	6,879681	0,824460																				
	145,000000	24,877121	3,003363	-10,443545	24,081564	-8,462986	24,921759	36,561397	-8,880695	42,319731	29,027760	6,908726	0,819172																				
	146,000000	25,057833	1,854106	-10,419348	24,070526	-8,589945	24,958340	36,558217	-8,942873	42,577424	29,175556	6,917269	0,810710																				
	147,000000	24,988308	1,959368	-10,423749	24,077503	-8,735461	24,990503	36,581967	-9,007252	42,840884	29,314617	6,927520	0,794846																				
	148,000000	25,190005	2,625457	-10,421019	24,077549	-8,885818	25,030844	36,593460	-9,069168	43,106297	29,443637	6,956565	0,792730																				
	149,000000	25,113473	2,945859	-10,428490	24,080278	-9,020463	25,081645	36,627144	-9,117186	43,355216	29,551937	6,954856	0,778981																				
	150,000000	25,141299	2,945544	-10,420550	24,079390	-9,156653	25,116789	36,647041	-9,199745	43,616155	29,655172	6,985609	0,764174																				
	151,000000	25,294420	2,902674	-10,410037	24,103060	-9,285660	25,116957	36,659495	-9,273378	43,854623	29,777493	6,989026	0,756770																				
	152,000000	25,092606	1,986309	-10,440919	24,116106	-9,428682	25,127499	36,695593	-9,323945	44,109302	29,901411	6,995860	0,741963																				
	153,000000	25,030020	0,852283	-10,417004	24,087027	-9,546725	25,133531	36,736874	-9,394651	44,345560	29,989810	7,007820	0,731387																				
	154,000000	25,162171	2,216827	-10,438700	24,112425	-9,693853	25,162603	36,723760	-9,462726	44,560777	30,089995	7,035156	0,731387																				
	155,000000	25,085651	2,627245	-10,404364	24,101462	-9,832596	25,216246	36,732956	-9,542201	44,797448	30,172128	7,023197	0,720810																				
	156,000000	25,036973	2,880022	-10,438182	24,109466	-9,962778	25,244811	36,750027	-9,612757	45,053221	30,261375	7,050533	0,709176																				
	157,000000	25,148256	2,752189	-10,437336	24,087194	-10,078236	25,242724	36,764856	-9,679828	45,262905	30,343051	7,045407	0,698599																				
	158,000000	25,036973	2,758371	-10,429432	24,102472	-10,240601	25,229273	36,787125	-9,757423	45,473593	30,442403	7,052241	0,686965																				
	159,000000	25,043926	1,585284	-10,431034	24,106274	-10,364297	25,252685	36,785621	-9,849267	45,704979	30,548065	7,069326	0,680619																				
	160,000000	25,050880	1,780773	-10,396852	24,106666	-10,475297	25,264535	36,782547	-9,908133	45,906541	30,587360	7,076160	0,662639																				
